retweetContacts,commentContacts,quoteContacts,otherContacts,sumContacts
3,0,0,0,3
723,3,0,0,726
1,0,0,0,1
21,0,0,0,21
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
914,70,17,0,1001
22,18,0,0,40
728,1,0,0,729
3,0,0,0,3
1,0,0,0,1
232,29,0,0,261
6,2,0,0,8
47,17,3,0,67
12,0,0,0,12
69,29,3,0,101
31,1,0,0,32
1,0,0,0,1
1,0,0,0,1
1285,0,1,0,1286
1,0,0,0,1
76,2,0,0,78
2,0,0,0,2
238,1,0,0,239
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
89,15,3,0,107
2,0,0,0,2
3,1,0,0,4
592,31,7,0,630
1,0,0,0,1
458,63,3,0,524
2,0,0,0,2
2,0,0,0,2
302,89,8,0,399
2,0,0,0,2
8,0,0,0,8
369,20,1,0,390
2,0,0,0,2
52,4,0,0,56
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1069,64,3,0,1136
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
346,0,0,0,346
1,0,0,0,1
1,0,0,0,1
3,0,0,0,3
1081,3,1,0,1085
3,0,0,0,3
1,0,0,0,1
5,0,0,0,5
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
40,2,0,0,42
4,0,0,0,4
4,0,0,0,4
1,0,0,0,1
5,0,0,0,5
238,0,1,0,239
1,0,0,0,1
89,0,0,0,89
5,0,2,0,7
5,1,0,0,6
161,35,45,0,241
18,0,0,0,18
2,0,0,0,2
20,11,2,0,33
2,0,0,0,2
219,16,1,0,236
1,0,0,0,1
1,0,0,0,1
223,8,3,0,234
1,0,0,0,1
32,0,0,0,32
1,0,0,0,1
1,0,0,0,1
1088,16,9,0,1113
16,3,0,0,19
1,0,0,0,1
33,8,1,0,42
5,0,0,0,5
132,11,8,0,151
3,3,0,0,6
1,0,0,0,1
1,0,0,0,1
446,34,17,0,497
14,0,0,0,14
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
48,42,10,0,100
1,0,0,0,1
87,4,1,0,92
6,0,0,0,6
1,0,0,0,1
1,0,0,0,1
4,0,0,0,4
5,0,0,0,5
1,0,0,0,1
268,16,2,0,286
1,0,0,0,1
23,2,0,0,25
6,0,0,0,6
1,0,0,0,1
1,0,0,0,1
11,0,0,0,11
1,0,0,0,1
3,0,0,0,3
26,19,0,0,45
5,0,0,0,5
67,6,0,0,73
11,10,0,0,21
96,10,0,0,106
298,12,2,0,312
4,0,0,0,4
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
643,37,7,0,687
1,0,0,0,1
7,0,0,0,7
1217,22,5,0,1244
10,7,0,0,17
1,0,0,0,1
37,0,0,0,37
1,0,0,0,1
942,0,1,0,943
4,0,0,0,4
119,2,0,0,121
1,0,0,0,1
3,0,0,0,3
36,0,0,0,36
3,0,0,0,3
1,0,0,0,1
324,8,1,0,333
1,0,0,0,1
49,1,0,0,50
3,0,0,0,3
2,0,0,0,2
1,0,0,0,1
48,22,0,0,70
3,0,0,0,3
1,0,0,0,1
210,1,0,0,211
2,0,0,0,2
19,0,1,0,20
1,0,0,0,1
2,19,0,0,21
1,0,0,0,1
1,0,0,0,1
714,18,1,0,733
1,0,0,0,1
365,32,23,0,420
1,0,0,0,1
1,0,0,0,1
162,4,3,0,169
7,0,0,0,7
228,19,6,0,253
8,0,0,0,8
177,11,1,0,189
2,0,0,0,2
103,2,0,0,105
1,0,0,0,1
1,0,0,0,1
135,0,0,0,135
1,0,0,0,1
1,0,0,0,1
304,9,1,0,314
5,0,0,0,5
929,7,3,0,939
1,7,0,0,8
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
171,0,1,0,172
1,0,0,0,1
31,0,0,0,31
64,0,0,0,64
4,0,0,0,4
1,0,0,0,1
310,0,0,0,310
1,0,0,0,1
279,14,0,0,293
2,0,0,0,2
1,0,0,0,1
510,38,7,0,555
1,0,0,0,1
247,11,3,0,261
6,0,0,0,6
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
17,0,0,0,17
1,0,0,0,1
8,2,1,0,11
770,1,0,0,771
1,0,1,0,2
1,0,0,0,1
1,0,0,0,1
36,0,0,0,36
1,0,0,0,1
2,0,0,0,2
13,1,0,0,14
1,0,0,0,1
1,0,0,0,1
3,0,0,0,3
3,0,0,0,3
1,0,0,0,1
43,1,0,0,44
1,0,0,0,1
3,0,0,0,3
3,0,0,0,3
7,0,0,0,7
2,0,0,0,2
1603,102,5,0,1710
1,0,0,0,1
3,0,0,0,3
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
25,0,0,0,25
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
4,0,0,0,4
2,0,0,0,2
36,0,0,0,36
2,0,0,0,2
8,0,0,0,8
71,5,0,0,76
1,0,0,0,1
36,1,2,0,39
32,0,0,0,32
1,0,0,0,1
70,3,0,0,73
2,0,0,0,2
2,0,0,0,2
103,0,0,0,103
1,0,0,0,1
30,1,0,0,31
1,0,0,0,1
45,19,0,0,64
2,0,0,0,2
1,0,0,0,1
1022,12,0,0,1034
2,0,0,0,2
2,2,0,0,4
240,52,7,0,299
1,0,0,0,1
138,41,0,0,179
37,0,0,0,37
55,4,1,0,60
97,0,0,0,97
2,5,0,0,7
2,0,0,0,2
3,0,0,0,3
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
7,0,0,0,7
106,59,4,0,169
1,0,0,0,1
3,0,0,0,3
5,11,0,0,16
1,0,1,0,2
2,0,0,0,2
6,0,0,0,6
5,0,0,0,5
1,0,0,0,1
290,1,0,0,291
20,0,0,0,20
20,0,0,0,20
1,0,0,0,1
181,1,0,0,182
1,0,0,0,1
180,17,1,0,198
2,0,0,0,2
7,4,0,0,11
116,1,0,0,117
20,0,0,0,20
1,0,0,0,1
4,0,0,0,4
1,0,0,0,1
33,30,0,0,63
3,0,0,0,3
1,0,0,0,1
2,0,0,0,2
5,0,0,0,5
4,0,0,0,4
6,0,0,0,6
38,34,4,0,76
1,0,0,0,1
22,7,2,0,31
10,0,0,0,10
10,0,0,0,10
1,0,0,0,1
1,0,0,0,1
418,21,4,0,443
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
4,0,0,0,4
1,0,0,0,1
1,0,0,0,1
339,20,5,0,364
6,0,0,0,6
170,1,1,0,172
1,0,0,0,1
36,12,0,0,48
1,0,0,0,1
354,2,0,0,356
4,0,0,0,4
17,1,0,0,18
1,0,0,0,1
6,0,0,0,6
14,28,2,0,44
1,6,0,0,7
2,0,0,0,2
1,0,0,0,1
115,19,4,0,138
3,1,0,0,4
91,6,1,0,98
1,0,0,0,1
2,0,0,0,2
193,2,0,0,195
9,1,0,0,10
130,1,0,0,131
2,0,0,0,2
3,1,0,0,4
1,0,0,0,1
232,49,0,0,281
5,0,0,0,5
21,0,0,0,21
1,0,0,0,1
35,1,0,0,36
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
2082,16,2,0,2100
1,0,0,0,1
124,6,6,0,136
1,0,0,0,1
61,0,1,0,62
1,0,0,0,1
181,15,1,0,197
8,0,0,0,8
92,7,2,0,101
1,0,0,0,1
88,19,0,0,107
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
212,6,0,0,218
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
76,4,2,0,82
2,4,0,0,6
1,0,0,0,1
1,0,0,0,1
440,66,1,0,507
1,0,0,0,1
1,0,0,0,1
3,0,0,0,3
1,0,0,0,1
3,0,0,0,3
8,0,0,0,8
217,5,3,0,225
7,0,0,0,7
427,7,0,0,434
1,0,0,0,1
1,0,0,0,1
236,15,0,0,251
6,1,0,0,7
6,0,0,0,6
1,0,0,0,1
3,0,0,0,3
1,0,0,0,1
1,0,0,0,1
67,69,9,0,145
3,0,0,0,3
50,0,0,0,50
1,0,0,0,1
16,23,1,0,40
7,9,2,0,18
148,0,0,0,148
1,0,0,0,1
1,0,0,0,1
16,2,0,0,18
1,0,0,0,1
5,61,0,0,66
285,5,0,0,290
6,0,1,0,7
1,0,0,0,1
436,0,1,0,437
1,0,0,0,1
625,0,1,0,626
2,0,0,0,2
9,1,0,0,10
1,0,0,0,1
1,0,0,0,1
11,2,0,0,13
9,0,0,0,9
3,0,0,0,3
42,3,1,0,46
1,0,0,0,1
1,0,0,0,1
4,0,0,0,4
1,0,0,0,1
255,27,3,0,285
7,0,0,0,7
2,0,0,0,2
244,31,1,0,276
1,0,0,0,1
107,5,3,0,115
2,0,0,0,2
5,0,0,0,5
316,9,1,0,326
9,0,0,0,9
121,1,1,0,123
1,0,0,0,1
1,0,0,0,1
62,3,1,0,66
1,0,0,0,1
1105,1,0,0,1106
1,0,0,0,1
5,61,3,0,69
2,0,0,0,2
1,0,0,0,1
90,0,0,0,90
1,0,0,0,1
110,0,0,0,110
2,0,0,0,2
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
51,0,1,0,52
2,0,0,0,2
3,0,0,0,3
168,3,0,0,171
1,0,0,0,1
11,5,0,0,16
1,0,0,0,1
20,1,0,0,21
12,0,0,0,12
1,0,0,0,1
29,3445,12,0,3486
2,0,0,0,2
18,0,0,0,18
1,0,0,0,1
1,0,0,0,1
9,0,0,0,9
1,0,0,0,1
3,0,0,0,3
89,0,2,0,91
6,22,4,0,32
29,124,1,0,154
1,0,0,0,1
5,0,0,0,5
1,4,0,0,5
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
64,1,3,0,68
5,0,0,0,5
17,12,2,0,31
1,0,0,0,1
165,1,0,0,166
1,0,0,0,1
18,0,0,0,18
1,0,0,0,1
15,5,1,0,21
1,0,0,0,1
45,28,1,0,74
5,0,0,0,5
31,5,2,0,38
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
73,59,8,0,140
1,0,0,0,1
2,0,0,0,2
167,2,0,0,169
2,0,0,0,2
1,0,0,0,1
21,15,1,0,37
4,1,0,0,5
150,2,2,0,154
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
591,34,0,0,625
2,0,0,0,2
328,4,1,0,333
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
7,1,0,0,8
1,0,0,0,1
1,0,0,0,1
3,0,0,0,3
37,4,0,0,41
2,0,0,0,2
1,0,0,0,1
234,2,0,0,236
2,0,0,0,2
80,33,8,0,121
2,0,0,0,2
1,0,0,0,1
165,2,0,0,167
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
287,21,21,0,329
2,0,0,0,2
9,1,0,0,10
111,10,2,0,123
10,0,0,0,10
586,5,1,0,592
2,0,0,0,2
1,0,0,0,1
37,0,0,0,37
1,0,0,0,1
415,0,0,0,415
1,0,0,0,1
512,1,0,0,513
1,0,0,0,1
214,0,0,0,214
1,0,0,0,1
205,0,9,0,214
1,4,0,0,5
20,0,0,0,20
2,0,0,0,2
3,0,0,0,3
1,0,0,0,1
13,1,0,0,14
9,0,0,0,9
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
3,0,0,0,3
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
13,0,0,0,13
4,0,0,0,4
1,0,0,0,1
38,0,2,0,40
1,0,0,0,1
1,0,0,0,1
4,0,0,0,4
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
377,2,2,0,381
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
3,0,0,0,3
1,0,0,0,1
2,0,0,0,2
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
48,27,4,0,79
73,5,7,0,85
3,0,0,0,3
20,3,1,0,24
1,0,0,0,1
3,0,0,0,3
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
178,0,0,0,178
1,0,0,0,1
1,0,0,0,1
321,9,3,0,333
2,0,0,0,2
20,1,0,0,21
14,0,1,0,15
1,0,0,0,1
28,8,0,0,36
2,0,0,0,2
9,1,1,0,11
2,1,0,0,3
1,0,0,0,1
1,0,0,0,1
39,0,0,0,39
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
294,5,1,0,300
2,0,0,0,2
84,0,0,0,84
2,0,0,0,2
2,0,0,0,2
1,0,0,0,1
2,0,0,0,2
10,0,0,0,10
1,0,0,0,1
89,12,4,0,105
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
338,68,2,0,408
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
4,0,0,0,4
1,0,0,0,1
2,0,0,0,2
2,0,0,0,2
1,0,0,0,1
1229,13,1,0,1243
5,0,0,0,5
327,1,0,0,328
1,0,0,0,1
477,1,0,0,478
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
