id,degree,coreness,pageRank,betweeness,clustering
1151420836588544002,1,1,7.508533851101184E-5,0.0,0.0
1166817727673184261,22,3,0.0010294206430218871,129670.17438102231,0.09761904761904762
1056267517662904321,5,3,2.431098547836556E-4,198341.6889764543,0.2
430775674,1,1,7.294409574500879E-5,0.0,0.0
66643970,110,3,0.005884134739987554,1175743.897547278,1.6680567139282736E-4
1227369499852247040,2,2,1.1199496451889933E-4,3840.605720214318,0.0
2321294030,1,1,1.3888344054318835E-4,0.0,0.0
269936066,1,1,1.3888344054318835E-4,0.0,0.0
3370552713,1,1,6.87785343805837E-5,0.0,0.0
1158566855159832576,1,1,7.294409574500879E-5,0.0,0.0
553902373,1,1,7.183401746463147E-5,0.0,0.0
2721904547,8,3,3.70905868628408E-4,244405.78185915214,0.07142857142857142
136759973,12,2,6.876716381617497E-4,100984.43550925844,0.0
